PLUCode,Name
3000,Alkmene Apples
3001,Small Aurora/Southern Rose Apples
3002,Cantared Apples
3003,D'Estivale Apples
3004,Discovery Apples
3005,Golden Delicious Blush Apples
3006,Ingrid Marie Apples
3007,Lochbuie Apples
3008,Rubinette Apples
3009,Russet Apples
3010,Small Cripps Red Apples
3011,Worcester Apples
3012,Abate Fetel Pears
3013,Beurre Hardy Pears
3014,Bon Rouge Pears
3015,Clara Friis Pears
3016,Concorde Pears
3017,Conference Pears
3018,Durondeau Pears
3019,Flamingo Pears
3020,General Leclerc Pears
3021,Guyot Pears
3022,Josephine Pears
3023,Small Passe Crassane Pears
3024,Rocha Pears
3025,Rosemarie Pears
3026,Triumph de Vienne Pears
3027,Shamouti Oranges
3028,Small Delta Seedless Oranges
3029,Satsuma Tangerines/mandarins
3030,Nova Tangerines/mandarins
3031,Jamaican Tangor Tangerines/mandarins
3032,Ellendale Tangerines/mandarins
3033,Small Charentais Melon
3034,Large Charentais Melon
3035,"Large White Flesh, Tree Ripened, Ready-to-eat Nectarine"
3036,Small Midknight Oranges
3037,Queen Pineapple
3038,Granadilla/Grenadilla Passion fruit
3039,Physalis/cape gooseberry/ground cherry
3040,Red (skin color) Pitahaya
3041,Rambutan
3042,Mangosteen
3043,Italia Grapes
3044,Black Apricots
3045,Fresh Dates
3046,Fresh Dates
3047,Medjool Dates
3048,Helda/Flat Beans
3049,Fine Beans
3050,Dutch White/Winter White Cabbage
3051,Spring Cabbage/Spring Greens Cabbage
3052,String Garlic
3053,Baby Parsnip
3054,Elongated Peppers (capsicums)
3055,Elongated Peppers (capsicums)
3056,Elongated Peppers (capsicums)
3057,Elongated Peppers (capsicums)
3058,Elongated Peppers (capsicums)
3059,Crown Prince Squash
3060,Vegetable Marrow Squash
3061,Beef/Beefsteak Tomatoes
3062,Bay leaves
3063,Fennel leaves
3064,Aloe vera leaves
3065,Small Cameo Apples
3066,Large Cameo Apples
3067,Small Swiss Gourmet Apples
3068,Large Swiss Gourmet Apples
3069,Small Gravenstein Apples
3070,Large Gravenstein Apples
3071,Granny Smith Apples
3072,Lady Apples
3073,Macoun Apples
3074,Greening (RI) Apples
3075,Baldwin Apples
3076,Melrose Apples
3077,Northern Spy Apples
3078,Liberty Apples
3079,Purple Asparagus
3080,Pinkerton Avocados
3081,Saskatoon Berries
3082,Crowns Broccoli
3083,Stalk Brussels sprouts
3084,Chervil
3085,Large Indian Corn
3086,Mini Indian Corn
3087,Indian Corn
3088,Red Currants
3089,Chinese Eggplant (aubergine)
3090,Thai Eggplant (aubergine)
3091,Gobo root/burdock
3092,OroBlanco/Sweetie Grapefruit
3093,Retailer Assigned Grapes
3094,Retailer Assigned Grapes
3095,Multicolor Kale
3096,Purple/Red/All Other Colors Kohlrabi
3097,Romaine Lettuce
3098,Boston Lettuce
3099,Lotus root
3100,Gold Honeydew Melon
3101,Piel de Sapo Melon
3102,Morel Mushrooms
3103,Enoki Mushrooms
3104,RoHo 3615 Apples
3105,Cashews
3106,Macadamia
3107,Medium Navel Oranges
3108,Medium Valencia Oranges
3109,Seville (Marmalade type) Oranges
3110,Navel Oranges
